Date	Adj Close
2010-05-17	128.91000400000001
2010-05-18	126.279999
2010-05-19	124.589996
2010-05-20	119.709999
2010-05-21	122.720001
2010-05-24	122.120003
2010-05-25	124.860001
2010-05-26	123.209999
2010-05-27	126.699997
2010-05-28	125.459999
2010-06-01	123.239998
2010-06-02	126.309998
2010-06-03	128.759995
2010-06-04	122.769997
2010-06-07	122.010002
2010-06-08	118.839996
2010-06-09	117.910004
2010-06-10	123.209999
2010-06-11	123.029999
2010-06-14	123.83000200000001
2010-06-15	126.839996
2010-06-16	126.900002
2010-06-17	125.889999
2010-06-18	125.83000200000001
2010-06-21	122.550003
2010-06-22	122.309998
2010-06-23	121.449997
2010-06-24	118.33000200000001
2010-06-25	121.0
2010-06-28	117.800003
2010-06-29	108.610001
2010-06-30	109.260002
2010-07-01	110.959999
2010-07-02	109.139999
2010-07-06	110.059998
2010-07-07	113.43
2010-07-08	116.220001
2010-07-09	117.260002
2010-07-12	119.510002
2010-07-13	123.650002
2010-07-14	123.300003
2010-07-15	122.059998
2010-07-16	118.489998
2010-07-19	119.940002
2010-07-20	120.099998
2010-07-21	117.43
2010-07-22	120.07
2010-07-23	118.870003
2010-07-26	118.400002
2010-07-27	117.129997
2010-07-28	117.129997
2010-07-29	116.860001
2010-07-30	117.889999
2010-08-02	120.07
2010-08-03	122.41999799999999
2010-08-04	127.58000200000001
2010-08-05	127.83000200000001
2010-08-06	128.320007
2010-08-09	128.830002
2010-08-10	130.0
2010-08-11	125.889999
2010-08-12	126.559998
2010-08-13	124.690002
2010-08-16	126.07
2010-08-17	128.860001
2010-08-18	129.649994
2010-08-19	127.57
2010-08-20	127.760002
2010-08-23	126.599998
2010-08-24	124.529999
2010-08-25	126.849998
2010-08-26	124.860001
2010-08-27	126.639999
2010-08-30	123.790001
2010-08-31	124.83000200000001
2010-09-01	132.490005
2010-09-02	135.21000700000002
2010-09-03	138.78999299999998
2010-09-07	137.220001
2010-09-08	139.139999
2010-09-09	140.380005
2010-09-10	142.440002
2010-09-13	145.070007
2010-09-14	145.75
2010-09-15	145.449997
2010-09-16	148.130005
2010-09-17	148.320007
2010-09-20	151.300003
2010-09-21	150.729996
2010-09-22	151.830002
2010-09-23	152.850006
2010-09-24	160.729996
2010-09-27	159.369995
2010-09-28	159.699997
2010-09-29	158.990005
2010-09-30	157.059998
2010-10-01	153.71000700000002
2010-10-04	155.389999
2010-10-05	160.869995
2010-10-06	155.399994
2010-10-07	156.270004
2010-10-08	155.550003
2010-10-11	153.029999
2010-10-12	156.479996
2010-10-13	155.169998
2010-10-14	155.529999
2010-10-15	164.639999
2010-10-18	163.559998
2010-10-19	158.669998
2010-10-20	158.669998
2010-10-21	164.970001
2010-10-22	169.130005
2010-10-25	169.0
2010-10-26	169.949997
2010-10-27	167.509995
2010-10-28	166.83999599999999
2010-10-29	165.229996
2010-11-01	162.580002
2010-11-02	164.610001
2010-11-03	168.470001
2010-11-04	168.929993
2010-11-05	170.770004
2010-11-08	171.990005
2010-11-09	170.270004
2010-11-10	173.330002
2010-11-11	170.369995
2010-11-12	165.679993
